datetime,região,estado,cidade,latitude,longitude,precipitacao_total_hr,temperatura_maxima,temperatura_minima,umidade_rel_max,umidade_rel_min
2013-01-01 00:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,25.0,24.1,54.0,50.0
2013-01-01 01:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,24.2,23.4,58.0,54.0
2013-01-01 02:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,23.5,23.2,59.0,56.0
2013-01-01 03:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,23.3,22.8,60.0,57.0
2013-01-01 04:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,22.9,22.2,62.0,59.0
2013-01-01 05:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,22.4,21.6,64.0,61.0
2013-01-01 06:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,21.9,21.4,65.0,62.0
2013-01-01 07:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,21.7,18.9,75.0,62.0
2013-01-01 08:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,21.9,20.7,66.0,61.0
2013-01-01 09:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,21.2,19.1,72.0,63.0
2013-01-01 10:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,22.5,18.1,80.0,61.0
2013-01-01 11:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,24.6,22.5,61.0,47.0
2013-01-01 12:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,24.9,23.9,54.0,46.0
2013-01-01 13:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,26.0,24.3,53.0,42.0
2013-01-01 14:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,27.3,25.1,48.0,38.0
2013-01-01 15:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,28.1,26.4,46.0,38.0
2013-01-01 16:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,28.3,26.9,45.0,38.0
2013-01-01 17:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,28.6,27.3,42.0,34.0
2013-01-01 18:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,29.3,27.6,40.0,34.0
2013-01-01 19:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,29.6,28.1,39.0,32.0
2013-01-01 20:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,29.4,28.2,36.0,31.0
2013-01-01 21:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,28.4,27.5,36.0,30.0
2013-01-01 22:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,27.6,26.1,42.0,34.0
2013-01-01 23:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,26.2,25.5,44.0,41.0
2013-01-02 00:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,25.6,21.2,65.0,41.0
2013-01-02 01:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,22.1,21.1,71.0,57.0
2013-01-02 02:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,22.7,20.4,73.0,58.0
2013-01-02 03:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,22.5,20.1,73.0,59.0
2013-01-02 04:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,21.6,19.6,73.0,62.0
2013-01-02 05:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,21.3,19.7,72.0,62.0
2013-01-02 06:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,21.7,18.6,78.0,59.0
2013-01-02 07:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,19.2,18.2,81.0,75.0
2013-01-02 08:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,19.3,18.4,80.0,74.0
2013-01-02 09:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,19.4,18.3,81.0,71.0
2013-01-02 10:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,21.1,18.4,79.0,64.0
2013-01-02 11:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,23.9,21.0,76.0,49.0
2013-01-02 12:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,25.3,23.8,54.0,44.0
2013-01-02 13:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,26.8,25.1,50.0,41.0
2013-01-02 14:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,27.7,26.5,46.0,34.0
2013-01-02 15:00:00,CO,DF,BRASILIA,"-15,78944444","-47,92583332",0.0,28.7,27.3,40.0,29.0
